Name,AR ID,"Age (days, min)","Age (days, max)",Age (newest emergence),Obs. Date,Emerge Date,Emerge Date 2,Prior Name 1,Prior Name 2,Prior Name 3,Notes
30-jul-21_2 region_0,12846,62,62,,7/30/21,5/29/21,,unnamed,12827,,
30-jul-21_1 region_0,12849,54,54,,7/30/21,6/6/21,,12835,12830,,
30-jul-21_1 region_1,12847,54,54,,7/30/21,6/6/21,,12836,12830,,
20-jul-21 region_0,12849,44,44,,7/20/21,6/6/21,,12835,12830,,
20-jul-21 region_1,12847,44,44,,7/20/21,6/6/21,,12836,12830,,
07-may-21 region_0,12822,18,18,,5/7/21,4/19/21,,12817,,,
03-may-21_2 region_0,SPoCA 25289,5,15,,5/3/21,,,,,,
03-may-21_1 region_0,SPoCA 25286,1,1,,5/3/21,5/2/21,,,,,
29-apr-21 region_0,"12818, 12820, 12821",15,24,4,4/29/21,,4/26/21,,,,
20-jan-21 region_0,12797,63,73,,1/20/21,,,"12794, 12795","1,278,612,785",,
08-jan-21 region_0,unnamed,1,1,,1/8/21,1/7/21,,,,,
09-jun-20 region_0,12765,11,20,,6/9/20,,,,,,
08-jun-20 region_0,12765,10,19,,6/8/20,,,,,,
07-jun-20 region_0,12765,9,18,,6/7/20,,,,,,
06-jun-20 region_0,12765,8,17,,6/6/20,,,,,,
29-jan-20 region_0,12757,6,6,,1/29/20,1/23/20,,,,,
13-apr-19 region_0,12738,25,25,,4/13/19,3/19/19,,12736,,,
12-apr-19 region_0,12738,24,24,,4/12/19,3/19/19,,12736,,,
10-sep-18 region_0,12721,2,2,,9/10/18,9/8/19,,,,,
09-sep-18 region_0,12721,1,1,,9/9/18,9/8/19,,,,,
29-may-18_2 region_0,12711,7,7,,5/29/18,5/22/18,,,,,
29-may-18_2 region_1,12710,12,12,,5/29/18,5/17/18,,,,,
29-may-18_1 region_0,12712,14,20,,5/29/18,,,,,,
10-oct-17 region_0,12683,45,45,,10/10/17,8/26/17,,12674,,,
10-oct-17 region_1,12682,101,101,37,10/10/17,7/1/17,9/3/17,12673,12670,12665,
13-sep-17 region_0,12673,75,75,10,9/13/17,7/1/17,9/3/17,12670,12665,,
13-sep-17 region_1,12673,75,75,10,9/13/17,7/1/17,9/3/17,12670,12665,,
12-sep-17 region_0,12673,74,74,9,9/12/17,7/1/17,9/3/17,12670,12665,,
12-sep-17 region_1,12673,74,74,9,9/12/17,7/1/17,9/3/17,12670,12665,,
11-sep-17 region_0,12673,73,73,8,9/11/17,7/1/17,9/3/17,12670,12665,,
27-jul-16_1 region_0,12569,17,17,,7/27/16,7/10/16,,,,,
27-jul-16_1 region_1,12568,1,1,,7/27/16,7/26/16,,,,,"Best seen in pred. sci. movie, new bright region appears right on the limb on this day. Convinced that's the dominant source (not a decaying faint on-disk region). See: https://www.predsci.com/docs/chmap/movies/Synch-EUV_2016.mp4"
26-jul-16_1 region_0,12569,16,16,,7/26/16,7/10/16,,,,,
26-jul-16_1 region_1,12568,1,1,,7/26/16,7/26/16,,,,,"Best seen in pred. sci. movie, new bright region appears right on the limb on this day. Convinced that's the dominant source (not a decaying faint on-disk region). See: https://www.predsci.com/docs/chmap/movies/Synch-EUV_2016.mp4"
26-jul-16_2 region_0,SPoCA 19717,20,20,,7/26/16,7/7/16,,,,,
22-apr-16_1 region_0,,,,,,,,,,,
22-apr-16_2 region_0,12529,24,24,,4/22/16,3/29/16,,,,,
19-feb-16 region_0,12497,73,73,32,2/19/16,12/8/15,1/18/16,,,,
02-sep-15 region_0,12407,2,2,,9/2/15,8/30/15,,,,,
02-sep-15 region_1,"12403, 12408",39,39,5,9/2/15,7/25/15,8/28/15,12390,,,12403 is pre-existing and much brighter (over the limb). 12408 emerges a few days before the observation and is a lot fainter. 
01-sep-15 region_0,"12403, 12408",38,38,4,9/1/15,7/25/15,8/28/15,12390,,,12403 is pre-existing and much brighter (over the limb). 12408 emerges a few days before the observation and is a lot fainter. 
