date,id,flare,flare_start,flare_end,background_start,background_end,region_x,region_y
20150901,20102002001,25-0_25-0,2015-09-01T03:59:48.000,2015-09-01T04:02:12.000,2015-09-01T03:55:48.000,2015-09-01T03:57:48.000,969.7162091113855,-218.7690553258229
20160726,20201002001,125-0_125-0,2016-07-26T21:24:40.000,2016-07-26T21:25:52.000,2016-07-26T21:20:40.000,2016-07-26T21:22:40.000,817.3164195832061,-206.47932828246712
20160726,20201003001,_49-0,2016-07-26T23:02:31.000,2016-07-26T23:03:19.000,2016-07-26T22:58:31.000,2016-07-26T23:00:31.000,989.380624481149,-194.18819011736196
20170321,20211003001,64-0_67-0,2017-03-21T17:12:54.000,2017-03-21T17:13:30.000,2017-03-21T17:08:54.000,2017-03-21T17:10:54.000,-60.223628608696345,-93.40806931330911
20170321,20211004001,144-0_145-0,2017-03-21T19:05:11.000,2017-03-21T19:07:47.000,2017-03-21T19:01:11.000,2017-03-21T19:03:11.000,23.352019820228687,-51.62025315148996
20170821,20312001001,55-0_55-0,2017-08-21T19:00:58.000,2017-08-21T19:05:22.000,2017-08-21T18:56:58.000,2017-08-21T18:58:58.000,318.32465039988733,71.2850257114377
20170911,80310211001,_66-0,2017-09-11T16:09:06.000,2017-09-11T16:10:18.000,2017-09-11T16:05:06.000,2017-09-11T16:07:06.000,918.0970358188695,-76.20056984673978
20170911,80310214001,133-0_131-0,2017-09-11T21:12:32.000,2017-09-11T21:16:56.000,2017-09-11T21:08:08.000,2017-09-11T21:10:08.000,967.2581559434609,-86.03280665120653
20171010,90311211001,136-0_136-0,2017-10-10T01:55:43.000,2017-10-10T01:59:43.000,2017-10-10T01:51:43.000,2017-10-10T01:53:43.000,859.1035544749028,344.13172613341396
20180529,80410201001,233-0_233-0,2018-05-29T16:46:12.000,2018-05-29T16:50:36.000,2018-05-29T16:42:12.000,2018-05-29T16:44:12.000,-215.08431604311227,329.38592717078797
20180529,80410201001,37-0_36-0,2018-05-29T16:07:00.000,2018-05-29T16:08:48.000,2018-05-29T16:02:48.000,2018-05-29T16:04:48.000,-247.03967155860482,287.59816847344524
20180529,80410201001,98-0_95-0,2018-05-29T16:19:12.000,2018-05-29T16:24:00.000,2018-05-29T16:14:36.000,2018-05-29T16:16:36.000,-124.13440669326974,361.3413468406142
20180529,80410202001,37-0_29-0,2018-05-29T17:39:42.000,2018-05-29T17:42:42.000,2018-05-29T17:34:06.000,2018-05-29T17:36:06.000,-192.96137146891397,309.7211590534074
20180529,80410202001,77-0_78-0,2018-05-29T17:47:54.000,2018-05-29T17:52:30.000,2018-05-29T17:43:54.000,2018-05-29T17:45:54.000,-227.3748387007572,275.30769356074694
20180529,80410205001,238-0_239-0,2018-05-29T23:10:04.000,2018-05-29T23:14:16.000,2018-05-29T23:06:04.000,2018-05-29T23:08:04.000,-55.307414274534494,294.97267151360643
20180907,80414201001,118-0_118-0,2018-09-09T09:13:43.000,2018-09-09T09:16:31.000,2018-09-09T09:09:43.000,2018-09-09T09:11:43.000,298.65983552230665,132.737639971322
20180907,80414202001,144-0_145-0,2018-09-09T10:55:35.000,2018-09-09T10:56:23.000,2018-09-09T10:51:47.000,2018-09-09T10:53:47.000,291.28552852426174,103.2403975530635
20180907,80414202001,186-0_185-0,2018-09-09T11:03:59.000,2018-09-09T11:04:23.000,2018-09-09T10:59:47.000,2018-09-09T11:01:47.000,308.49224366214395,108.15659296188302
20180907,80414202001,25-0_25-0,2018-09-09T10:31:47.000,2018-09-09T10:32:59.000,2018-09-09T10:27:47.000,2018-09-09T10:29:47.000,271.620706273603,83.5755732018488
20190412,80416202001,268-0_267-0,2019-04-12T17:43:11.000,2019-04-12T17:44:23.000,2019-04-12T17:38:59.000,2019-04-12T17:40:59.000,-251.95587908513062,280.2238575756231
20190412,80416204001,161-0_160-0,2019-04-12T20:35:06.000,2019-04-12T20:39:30.000,2019-04-12T20:30:54.000,2019-04-12T20:32:54.000,-271.6207062735293,270.39142027177286
20190412,80416204001,91-0_91-0,2019-04-12T20:21:06.000,2019-04-12T20:25:06.000,2019-04-12T20:17:06.000,2019-04-12T20:19:06.000,-293.74363094050295,258.1008763648856
20190412,80416208001,217-0_217-0,2019-04-13T03:12:54.000,2019-04-13T03:14:42.000,2019-04-13T03:08:54.000,2019-04-13T03:10:54.000,-153.63168158996814,226.145723777085
20190412,80416208001,55-0_56-0,2019-04-13T02:40:30.000,2019-04-13T02:41:06.000,2019-04-13T02:36:42.000,2019-04-13T02:38:42.000,-190.50326623278124,216.3132761202059
20190412,80416208001,_243-0,2019-04-13T03:18:06.000,2019-04-13T03:18:54.000,2019-04-13T03:14:06.000,2019-04-13T03:16:06.000,-119.21819368433262,216.3133322473406
20190412,80416209001,175-0_171-0,2019-04-13T04:41:10.000,2019-04-13T04:43:10.000,2019-04-13T04:36:22.000,2019-04-13T04:38:22.000,-94.6371267193399,285.1402421105977
20190412,80416209001,233-0_235-0,2019-04-13T04:52:46.000,2019-04-13T04:56:10.000,2019-04-13T04:49:10.000,2019-04-13T04:51:10.000,-70.05605706624465,280.2240504740816
20190412,80416209001,91-0_91-0,2019-04-13T04:24:22.000,2019-04-13T04:25:46.000,2019-04-13T04:20:22.000,2019-04-13T04:22:22.000,-170.8384224553356,167.15120655800476
20190412,80416210001,180-0_180-0,2019-04-13T06:18:48.000,2019-04-13T06:21:00.000,2019-04-13T06:14:48.000,2019-04-13T06:16:48.000,-102.01144712270889,213.85523753783494
20190412,80416212001,158-0_158-0,2019-04-13T09:27:42.000,2019-04-13T09:29:42.000,2019-04-13T09:23:42.000,2019-04-13T09:25:42.000,-74.9722711783761,189.2742010915557
20190412,80416213001,110-0_110-0,2019-04-13T10:54:46.000,2019-04-13T10:55:34.000,2019-04-13T10:50:46.000,2019-04-13T10:52:46.000,-18.43580515087524,152.40262797769654
20190412,80416213001,162-0_162-0,2019-04-13T11:05:10.000,2019-04-13T11:07:22.000,2019-04-13T11:01:10.000,2019-04-13T11:03:10.000,70.05605706620561,184.35799227417507
20190412,80416213001,26-0_26-0,2019-04-13T10:37:58.000,2019-04-13T10:39:34.000,2019-04-13T10:33:58.000,2019-04-13T10:35:58.000,-62.68173575040237,199.10662512404008
20200129,20513002001,51-0_51-0,2020-01-29T11:22:51.000,2020-01-29T11:23:39.000,2020-01-29T11:18:51.000,2020-01-29T11:20:51.000,505.1400526112918,179.44125390682748
20200129,20513005001,209-0_215-0,2020-01-29T16:48:50.000,2020-01-29T16:50:02.000,2020-01-29T16:44:50.000,2020-01-29T16:46:50.000,642.7929937765977,176.98282708748587
20200129,20513007001,155-0_157-0,2020-01-29T19:50:18.000,2020-01-29T19:52:54.000,2020-01-29T19:46:18.000,2020-01-29T19:48:18.000,659.9995736785071,154.8599418115778
20200129,20513007001,49-0_48-0,2020-01-29T19:28:42.000,2020-01-29T19:31:54.000,2020-01-29T19:24:30.000,2020-01-29T19:26:30.000,628.0444895882209,140.1114484747355
20200129,20515018001,130-0_129-0,2020-01-30T13:39:51.000,2020-01-30T13:46:03.000,2020-01-30T13:35:39.000,2020-01-30T13:37:39.000,-207.71000170966545,-410.50317900738975
20200129,20515018001,69-0_69-0,2020-01-30T13:27:39.000,2020-01-30T13:28:39.000,2020-01-30T13:23:39.000,2020-01-30T13:25:39.000,-251.95587908533525,-427.7097485230787
20200129,20515021001,131-0_132-0,2020-01-30T18:15:36.000,2020-01-30T18:19:24.000,2020-01-30T18:11:36.000,2020-01-30T18:13:36.000,-212.6262113253233,-388.38029753948956
20200221,80512221001,_242-0,2020-02-21T10:54:36.000,2020-02-21T10:55:36.000,2020-02-21T10:50:36.000,2020-02-21T10:52:36.000,-52.84930708351112,-238.43629988823238
20200221,80512223001,177-0_177-0,2020-02-21T13:54:53.000,2020-02-21T13:55:17.000,2020-02-21T13:50:53.000,2020-02-21T13:52:53.000,-30.726341772697197,-282.6821662835648
20200221,80512225001,_60-0,2020-02-21T16:44:47.000,2020-02-21T16:45:11.000,2020-02-21T16:40:47.000,2020-02-21T16:42:47.000,-283.9112207815333,189.27403429630314
20200606,20611002001,54-0_54-0,2020-06-06T19:47:01.000,2020-06-06T19:50:37.000,2020-06-06T19:43:01.000,2020-06-06T19:45:01.000,-465.8105528438,-420.3347048519147
20200606,20611003001,138-0_137-0,2020-06-06T21:11:42.000,2020-06-06T21:15:54.000,2020-06-06T21:07:30.000,2020-06-06T21:09:30.000,-519.8886057080699,-442.4572407104178
20200606,20611003001,169-0_169-0,2020-06-06T21:17:54.000,2020-06-06T21:19:18.000,2020-06-06T21:13:54.000,2020-06-06T21:15:54.000,-460.8943629325722,-432.62518092775264
20200606,20611003001,33-0_34-0,2020-06-06T20:50:42.000,2020-06-06T20:52:18.000,2020-06-06T20:46:54.000,2020-06-06T20:48:54.000,-569.0504101232591,-376.0885780645917
20200606,20611003001,63-0_63-0,2020-06-06T20:56:42.000,2020-06-06T21:01:06.000,2020-06-06T20:52:42.000,2020-06-06T20:54:42.000,-586.257026680255,-378.54657940786325
